location_id,lga_name,sa4_name,state_name,remoteness_area
L251,Wollondilly,Sydney - Outer South West,NSW,Inner Regional Australia
L252,Scenic Rim,Ipswich,Qld,Inner Regional Australia
L253,Casey,Melbourne - South East,Vic,Major Cities of Australia
L254,Northern Areas,Barossa - Yorke - Mid North,SA,Outer Regional Australia
L255,Tablelands,Cairns,Qld,Outer Regional Australia
L256,Sydney,Sydney - City and Inner South,NSW,Major Cities of Australia
L257,Murrindindi,Hume,Vic,Inner Regional Australia
L258,Albury,Murray,NSW,Inner Regional Australia
L259,Boroondara,Melbourne - Inner East,Vic,Major Cities of Australia
L260,Redland,Brisbane - East,Qld,Major Cities of Australia
L261,Playford,Adelaide - North,SA,Inner Regional Australia
L262,South Gippsland,Latrobe - Gippsland,Vic,Inner Regional Australia
L263,Hinchinbrook,Townsville,Qld,Outer Regional Australia
L264,Yarra Ranges,Melbourne - Outer East,Vic,Inner Regional Australia
L265,Surf Coast,Geelong,Vic,Inner Regional Australia
L266,Mount Barker,Adelaide - Central and Hills,SA,Inner Regional Australia
L267,Brisbane,Brisbane - East,Qld,Major Cities of Australia
L268,Cessnock,Hunter Valley exc Newcastle,NSW,Major Cities of Australia
L269,Maitland,Hunter Valley exc Newcastle,NSW,Inner Regional Australia
L270,Hobart,Hobart,Tas,Inner Regional Australia
L271,Mitcham,Adelaide - South,SA,Major Cities of Australia
L272,Clarence Valley,Coffs Harbour - Grafton,NSW,Inner Regional Australia
L273,Adelaide,Adelaide - Central and Hills,SA,Major Cities of Australia
L274,Clarence,,Tas,Inner Regional Australia
L275,Lismore,Richmond - Tweed,NSW,Inner Regional Australia
L276,Greater Shepparton,Shepparton,Vic,Inner Regional Australia
L277,Moreland,Melbourne - North West,Vic,Major Cities of Australia
L278,Narrandera,Riverina,NSW,Outer Regional Australia
L279,Huon Valley,South East,Tas,Outer Regional Australia
L280,Townsville,Townsville,Qld,Outer Regional Australia
L281,Griffith,Riverina,NSW,Outer Regional Australia
L282,Wodonga,Hume,Vic,Inner Regional Australia
L283,Mid-Coast,Hunter Valley exc Newcastle,NSW,Inner Regional Australia
L284,Darebin,Melbourne - Inner,Vic,Major Cities of Australia
L285,Ballarat,Ballarat,Vic,Inner Regional Australia
L286,Wingecarribee,Southern Highlands and Shoalhaven,NSW,Inner Regional Australia
L287,Cardinia,Melbourne - South East,Vic,Inner Regional Australia
L288,Maroondah,Melbourne - Outer East,Vic,Major Cities of Australia
L289,Tweed,Richmond - Tweed,NSW,Major Cities of Australia
