date_id,day_of_week,month_name,year
D416,Friday,3,2021
D417,Monday,3,2021
D418,Saturday,3,2021
D419,Sunday,3,2021
D420,Thursday,3,2021
D421,Tuesday,3,2021
D422,Wednesday,3,2021
D423,Friday,2,2021
D424,Monday,2,2021
D425,Saturday,2,2021
D426,Sunday,2,2021
D427,Thursday,2,2021
D428,Tuesday,2,2021
D429,Wednesday,2,2021
D430,Friday,1,2021
D431,Monday,1,2021
D432,Saturday,1,2021
D433,Sunday,1,2021
D434,Thursday,1,2021
D435,Tuesday,1,2021
D436,Wednesday,1,2021
D437,Friday,12,2020
D438,Monday,12,2020
D439,Saturday,12,2020
D440,Sunday,12,2020
D441,Thursday,12,2020
D442,Tuesday,12,2020
D443,Wednesday,12,2020
D444,Friday,11,2020
D445,Monday,11,2020
D446,Saturday,11,2020
D447,Sunday,11,2020
D448,Thursday,11,2020
D449,Tuesday,11,2020
D450,Wednesday,11,2020
D451,Friday,10,2020
D452,Monday,10,2020
D453,Saturday,10,2020
D454,Sunday,10,2020
D455,Thursday,10,2020
D456,Tuesday,10,2020
D457,Wednesday,10,2020
D458,Friday,9,2020
D459,Monday,9,2020
D460,Saturday,9,2020
D461,Sunday,9,2020
D462,Thursday,9,2020
D463,Tuesday,9,2020
D464,Wednesday,9,2020
D465,Friday,8,2020
D466,Monday,8,2020
D467,Saturday,8,2020
D468,Sunday,8,2020
D469,Thursday,8,2020
D470,Tuesday,8,2020
D471,Wednesday,8,2020
D472,Friday,7,2020
D473,Monday,7,2020
D474,Saturday,7,2020
D475,Sunday,7,2020
D476,Thursday,7,2020
D477,Tuesday,7,2020
D478,Wednesday,7,2020
D479,Friday,6,2020
D480,Monday,6,2020
D481,Saturday,6,2020
D482,Sunday,6,2020
D483,Thursday,6,2020
D484,Tuesday,6,2020
D485,Wednesday,6,2020
D486,Friday,5,2020
D487,Monday,5,2020
D488,Saturday,5,2020
D489,Sunday,5,2020
D490,Thursday,5,2020
D491,Tuesday,5,2020
D492,Wednesday,5,2020
D493,Friday,4,2020
D494,Monday,4,2020
D495,Saturday,4,2020
D496,Sunday,4,2020
D497,Thursday,4,2020
D498,Tuesday,4,2020
D499,Wednesday,4,2020
D500,Friday,3,2020
D501,Monday,3,2020
D502,Saturday,3,2020
D503,Sunday,3,2020
D504,Thursday,3,2020
D505,Tuesday,3,2020
D506,Wednesday,3,2020
D507,Friday,2,2020
D508,Monday,2,2020
D509,Saturday,2,2020
D510,Sunday,2,2020
D511,Thursday,2,2020
D512,Tuesday,2,2020
D513,Wednesday,2,2020
D514,Friday,1,2020
D515,Monday,1,2020
D516,Saturday,1,2020
D517,Sunday,1,2020
D518,Thursday,1,2020
D519,Tuesday,1,2020
D520,Wednesday,1,2020
D521,Friday,12,2019
D522,Monday,12,2019
D523,Saturday,12,2019
D524,Sunday,12,2019
D525,Thursday,12,2019
D526,Tuesday,12,2019
D527,Wednesday,12,2019
D528,Friday,11,2019
D529,Monday,11,2019
D530,Saturday,11,2019
D531,Sunday,11,2019
D532,Thursday,11,2019
D533,Tuesday,11,2019
D534,Wednesday,11,2019
D535,Friday,10,2019
D536,Monday,10,2019
D537,Saturday,10,2019
D538,Sunday,10,2019
D539,Thursday,10,2019
D540,Tuesday,10,2019
D541,Wednesday,10,2019
D542,Friday,9,2019
D543,Monday,9,2019
D544,Saturday,9,2019
D545,Sunday,9,2019
D546,Thursday,9,2019
D547,Tuesday,9,2019
D548,Wednesday,9,2019
D549,Friday,8,2019
D550,Monday,8,2019
D551,Saturday,8,2019
D552,Sunday,8,2019
D553,Thursday,8,2019
D554,Tuesday,8,2019
D555,Wednesday,8,2019
D556,Friday,7,2019
D557,Monday,7,2019
D558,Saturday,7,2019
D559,Sunday,7,2019
D560,Thursday,7,2019
D561,Tuesday,7,2019
D562,Wednesday,7,2019
D563,Friday,6,2019
D564,Monday,6,2019
D565,Saturday,6,2019
D566,Sunday,6,2019
D567,Thursday,6,2019
D568,Tuesday,6,2019
D569,Wednesday,6,2019
D570,Friday,5,2019
D571,Monday,5,2019
D572,Saturday,5,2019
D573,Sunday,5,2019
D574,Thursday,5,2019
D575,Tuesday,5,2019
D576,Wednesday,5,2019
D577,Friday,4,2019
D578,Monday,4,2019
D579,Saturday,4,2019
D580,Sunday,4,2019
D581,Thursday,4,2019
D582,Tuesday,4,2019
D583,Wednesday,4,2019
D584,Friday,3,2019
D585,Monday,3,2019
D586,Saturday,3,2019
D587,Sunday,3,2019
D588,Thursday,3,2019
D589,Tuesday,3,2019
D590,Wednesday,3,2019
D591,Friday,2,2019
D592,Monday,2,2019
D593,Saturday,2,2019
D594,Sunday,2,2019
D595,Thursday,2,2019
D596,Tuesday,2,2019
D597,Wednesday,2,2019
D598,Friday,1,2019
D599,Monday,1,2019
D600,Saturday,1,2019
D601,Sunday,1,2019
D602,Thursday,1,2019
D603,Tuesday,1,2019
D604,Wednesday,1,2019
D605,Friday,12,2018
D606,Monday,12,2018
D607,Saturday,12,2018
D608,Sunday,12,2018
D609,Thursday,12,2018
D610,Tuesday,12,2018
D611,Wednesday,12,2018
D612,Friday,11,2018
D613,Monday,11,2018
D614,Saturday,11,2018
D615,Sunday,11,2018
D616,Thursday,11,2018
D617,Tuesday,11,2018
D618,Wednesday,11,2018
D619,Friday,10,2018
D620,Monday,10,2018
D621,Saturday,10,2018
D622,Sunday,10,2018
D623,Thursday,10,2018
D624,Tuesday,10,2018
D625,Wednesday,10,2018
D626,Friday,9,2018
D627,Monday,9,2018
D628,Saturday,9,2018
D629,Sunday,9,2018
D630,Thursday,9,2018
D631,Tuesday,9,2018
D632,Wednesday,9,2018
D633,Friday,8,2018
D634,Monday,8,2018
D635,Saturday,8,2018
D636,Sunday,8,2018
D637,Thursday,8,2018
D638,Tuesday,8,2018
D639,Wednesday,8,2018
D640,Friday,7,2018
D641,Monday,7,2018
D642,Saturday,7,2018
D643,Sunday,7,2018
D644,Thursday,7,2018
D645,Tuesday,7,2018
D646,Wednesday,7,2018
D647,Friday,6,2018
D648,Monday,6,2018
D649,Saturday,6,2018
D650,Sunday,6,2018
D651,Thursday,6,2018
D652,Tuesday,6,2018
D653,Wednesday,6,2018
D654,Friday,5,2018
D655,Monday,5,2018
D656,Saturday,5,2018
D657,Sunday,5,2018
D658,Thursday,5,2018
D659,Tuesday,5,2018
D660,Wednesday,5,2018
D661,Friday,4,2018
D662,Monday,4,2018
D663,Saturday,4,2018
D664,Sunday,4,2018
D665,Thursday,4,2018
